"seed_num","min_lambda_val"
1617,1.16745093174629
1618,1.2330595898574
1619,1.20091273868092
1620,1.3428702966381
1621,1.25519921413336
1622,1.2214233955041
1623,1.16047264752135
1624,1.23704744451671
1625,1.26469840556507
1626,1.18385259693103
1627,1.27702675860338
1628,1.15185275005309
1629,1.11592900044247
1630,1.22772553496731
1631,1.29815002041598
1632,1.18875675687565
1633,1.23898540891344
1634,1.18718739788855
1635,1.25103612887111
1636,1.17346331652844
1637,1.28814824350942
1638,1.22968429277139
1639,1.189580822798
1640,1.1589409327127
1641,1.23381343502886
1642,1.18231961715238
1643,1.13403336934451
1644,1.24510959268055
1645,1.25972350657165
1646,1.26591410331041
1647,1.21229323825375
1648,1.17292377903688
1649,1.20817059875342
1650,1.20092716045844
1651,1.35790968632236
1652,1.26482320068527
1653,1.25950952339247
1654,1.28535067285579
1655,1.26891031565697
1656,1.25843233674105
1657,1.28370608109504
1658,1.28329999062167
1659,1.1903326031257
1660,1.25017327107457
1661,1.14024369390929
1662,1.24909148280302
1663,1.25098189086041
1664,1.25721448429713
1665,1.22222173177755
1666,1.26591631027307
1667,1.20496853410257
1668,1.20755276725063
1669,1.1413261418295
1670,1.24172089238866
1671,1.25327341959451
1672,1.2448058971539
1673,1.26484456400908
1674,1.20640964731612
1675,1.10386903678916
1676,1.22288147872565
1677,1.25349905898825
1678,1.26411730635309
1679,1.24257310058786
1680,1.16821042926582
1681,1.2767347387975
1682,1.17733399142701
1683,1.22998891962849
1684,1.25319354637949
1685,1.27234225911758
1686,1.26783506160155
1687,1.20681341450658
1688,1.25523141271764
1689,1.32293446381497
1690,1.21896008563288
1691,1.2223178650856
1692,1.17353052305469
1693,1.2464430754494
1694,1.24058687568835
1695,1.18588338699349
1696,1.25451765636464
1697,1.16601454230518
1698,1.26313283692198
1699,1.27088679348944
1700,1.22807851026044
1701,1.19412723391658
1702,1.16736437427773
1703,1.26433536166326
1704,1.2017700292593
1705,1.20409881943823
1706,1.24005723314185
1707,1.25532364691092
1708,1.18895685026352
1709,1.13171869036768
1710,1.23865106206851
1711,1.28488900550319
1712,1.20725244455903
1713,1.23059493787634
1714,1.16157087514454
1715,1.29282318111509
1716,1.22083986844726
1717,1.29739839187363
1718,1.23953696793581
1719,1.19692174721221
1720,1.33687337216963
1721,1.25723851711017
1722,1.16452938319493
1723,1.29192745134635
1724,1.22299084455906
1725,1.23115193001373
1726,1.34434961308826
1727,1.20871724173134
1728,1.23843602792657
1729,1.20754577191079
1730,1.19524584332014
1731,1.2487637136413
1732,1.18224973555764
1733,1.23404377931771
1734,1.33907196229442
1735,1.16688271035469
1736,1.28563374345038
1737,1.28466038619428
1738,1.31766120209111
1739,1.14470813712921
1740,1.16988714672927
1741,1.29304774623737
1742,1.23965205267672
1743,1.28643916818613
1744,1.27431062795173
1745,1.17354093157609
1746,1.15807636751286
1747,1.26076910776061
1748,1.26189063064908
1749,1.25890327388431
1750,1.20058324760646
1751,1.25206649077848
1752,1.21976412679867
1753,1.14787232668053
1754,1.26259854665347
1755,1.3532781182656
1756,1.23468006826879
1757,1.21448913690923
1758,1.221280364919
1759,1.24023661297208
1760,1.20383659851567
1761,1.14245936232787
1762,1.28469211687496
1763,1.30007942187431
1764,1.20518281367695
1765,1.19781364104434
1766,1.29316145796958
1767,1.17263536911084
1768,1.18597713867172
1769,1.18414531416699
1770,1.25910542991127
1771,1.1694087571348
1772,1.25696466872016
1773,1.11268497364783
1774,1.21671809993855
1775,1.22525619011905
1776,1.24215399421862
1777,1.34000218780298
1778,1.12483293798588
1779,1.21027594437556
1780,1.20301361728912
1781,1.23889908902366
1782,1.27718761902377
1783,1.15142648981447
1784,1.31033765324964
1785,1.32419757143221
1786,1.25983027051073
1787,1.25666739812931
1788,1.09549214377105
1789,1.18912990999111
1790,1.1482135429746
1791,1.27637799410358
1792,1.28082299589142
1793,1.20831440049334
1794,1.11444060029931
1795,1.15453360784524
1796,1.153649085442
1797,1.25383243842381
1798,1.15806068684442
1799,1.19584657690556
1800,1.26816193968106
1801,1.18978959107204
1802,1.25748268963242
1803,1.15826140755663
1804,1.21728856973926
1805,1.23569853825986
1806,1.24362688178429
1807,1.32258471909919
1808,1.29493149234992
1809,1.23983608236168
1810,1.19629892836083
1811,1.26248795284858
1812,1.20079363270908
1813,1.27906110920873
1814,1.17988755258619
1815,1.14541831275997
1816,1.24626734710456
1817,1.32847689607389
1818,1.2285202121498
1819,1.21653152204508
1820,1.2097742694928
1821,1.31825656226614
1822,1.37091678288594
1823,1.33903427012141
1824,1.31240517157392
1825,1.14265228051483
1826,1.23598008816295
1827,1.22097811721479
1828,1.21189573365446
1829,1.21654553066251
1830,1.31182854587555
1831,1.29780972909253
1832,1.19841148053267
1833,1.20106128985602
1834,1.14427170646475
1835,1.14007047644469
1836,1.15511499885163
1837,1.2080571744312
1838,1.21096199201636
1839,1.2524110873433
1840,1.12887359801562
1841,1.26021084773563
1842,1.2318086671093
1843,1.20204377982146
1844,1.18100927100962
1845,1.2180106997227
1846,1.22463819692114
1847,1.27687342406197
1848,1.2385332109658
1849,1.22701620089951
1850,1.38485277131485
1851,1.24471440082607
1852,1.2257123898618
1853,1.15470845480982
1854,1.12375309476156
1855,1.23270593670307
1856,1.24369034935451
1857,1.1470883466646
1858,1.26777445693551
1859,1.24702045226086
1860,1.30388501264235
1861,1.27334059511153
1862,1.27602777964535
1863,1.38706367964868
1864,1.37703244953367
1865,1.17677261766383
1866,1.2057178728647
1867,1.19026438378242
1868,1.25186879702499
1869,1.18590894998626
1870,1.22883000017482
1871,1.21665614377555
1872,1.20448091234759
1873,1.2152274387913
1874,1.18120131708079
1875,1.20372241304051
1876,1.23549721377711
1877,1.25335586482701
1878,1.14973103397021
1879,1.22376239993933
1880,1.24537247043027
1881,1.1181614817553
1882,1.27145714331878
1883,1.30399682035346
1884,1.19406316770014
1885,1.21192004445352
1886,1.27114007580967
1887,1.21360615109319
1888,1.19311835104642
1889,1.11912908461949
1890,1.17682797922994
1891,1.22176392025329
1892,1.33386866032719
1893,1.26055718394457
1894,1.22864256309119
1895,1.14496171566213
1896,1.24561628161755
1897,1.30381595772686
1898,1.19457337597484
1899,1.21854378032473
1900,1.16812055317699
1901,1.20763436306648
1902,1.19308517562922
1903,1.35846784893107
1904,1.25460153051859
1905,1.25403480287987
1906,1.16466086519347
