"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.028,-0.0476903617740107,-0.0619347253718606,-0.0240030886840239,-0.085790159981425,0.637435958368567,0.628370790397623,0.690305515769484,0.685126320142578,"DVDS"
1.029,-0.044815417445336,-0.064409002203224,NA,NA,NA,NA,NA,NA,"ZSB"
1.029,-0.0474296449567561,-0.0621847188214605,-0.0237455448703912,-0.0860434237900627,0.637594184526964,0.628209852344748,0.690394571166208,0.68502382948372,"DVDS"
1.03,-0.0444836410999745,-0.0647429093433422,NA,NA,NA,NA,NA,NA,"ZSB"
1.03,-0.0471748425878315,-0.0624340038622396,-0.0234934640297473,-0.0862959935245599,0.637752194356187,0.628049010527666,0.690483014389906,0.684927036944019,"DVDS"
1.031,-0.0441522256023788,-0.065076524557769,NA,NA,NA,NA,NA,NA,"ZSB"
1.031,-0.0469076218780673,-0.0626835348830489,-0.0232295624245838,-0.086548836081588,0.637924228669876,0.627888262507501,0.69057179739055,0.684831850547943,"DVDS"
1.032,-0.0438211703216489,-0.0654098482654141,NA,NA,NA,NA,NA,NA,"ZSB"
1.032,-0.0466316065634186,-0.0629427529904058,-0.0229570890606141,-0.0868110852635084,0.638107891858105,0.627719957436867,0.690662710427273,0.684739498421523,"DVDS"
1.033,-0.0434904746283195,-0.065742880884223,NA,NA,NA,NA,NA,NA,"ZSB"
1.033,-0.0463799256026097,-0.0631890843675928,-0.0227080773137418,-0.0870606819822646,0.638266107381537,0.627562224869396,0.690751309236988,0.684646032984146,"DVDS"
1.034,-0.0431601378943663,-0.0660756228311756,NA,NA,NA,NA,NA,NA,"ZSB"
1.034,-0.0461293529604785,-0.0634381620056857,-0.0224601224404207,-0.0873131213481067,0.638424487946693,0.627401617930878,0.690839779936564,0.684553840907171,"DVDS"
1.035,-0.0428301594931862,-0.066408074522288,NA,NA,NA,NA,NA,NA,"ZSB"
1.035,-0.0458783745861435,-0.0636870174167653,-0.0222117226694331,-0.0875653589856882,0.638582656281584,0.627241106104317,0.690928123521082,0.684461030867727,"DVDS"
1.036,-0.0425005387996079,-0.0667402363726207,NA,NA,NA,NA,NA,NA,"ZSB"
1.036,-0.0456271632717259,-0.0639356500517554,-0.0219630557233285,-0.0878173942268921,0.638740606441068,0.62708068997517,0.691016340026925,0.684367769712794,"DVDS"
1.037,-0.0421712751898825,-0.0670721087962779,NA,NA,NA,NA,NA,NA,"ZSB"
1.037,-0.0453729284793629,-0.0641840608431055,-0.0217114576304199,-0.0880692278730159,0.638903131755179,0.626920368541582,0.691104429384688,0.684276060234542,"DVDS"
1.038,-0.0418423680416789,-0.0674036922064145,NA,NA,NA,NA,NA,NA,"ZSB"
1.038,-0.045120638999225,-0.0644322525916737,-0.0214616851275708,-0.0883208627175319,0.639062302045196,0.62676014096858,0.691192393560254,0.684182941044421,"DVDS"
1.039,-0.0415138167340801,-0.0677349870152339,NA,NA,NA,NA,NA,NA,"ZSB"
1.039,-0.0448481731262784,-0.064680222258524,-0.0211924083201031,-0.0885722956858494,0.639219770403436,0.626600007868101,0.691280230126625,0.684067943529714,"DVDS"
1.04,-0.0411856206475809,-0.0680659936339986,NA,NA,NA,NA,NA,NA,"ZSB"
1.04,-0.0445973498633828,-0.0649040848913859,-0.0209440481871784,-0.0887982298494781,0.639377024273028,0.626462622671756,0.691366707563142,0.683974374136411,"DVDS"
1.041,-0.0408577791640817,-0.068396712473028,NA,NA,NA,NA,NA,NA,"ZSB"
1.041,-0.0443556067517294,-0.0651510352140224,-0.0207050068952384,-0.0890486491775758,0.639527102226392,0.626303229367279,0.691454264581302,0.683882708978122,"DVDS"
1.042,-0.040530291666889,-0.068727143941704,NA,NA,NA,NA,NA,NA,"ZSB"
1.042,-0.0441010244988387,-0.0653924398990822,-0.0204529238066706,-0.089293254641555,0.63968376493389,0.626143927323394,0.691536367222476,0.683784789432728,"DVDS"
1.043,-0.0402031575407058,-0.0690572884484729,NA,NA,NA,NA,NA,NA,"ZSB"
1.043,-0.0438466476670972,-0.0656400867193419,-0.0202010584484506,-0.0895443747612348,0.639840214594216,0.62598471787581,0.691624804595152,0.683686862261314,"DVDS"
1.044,-0.0398763761716328,-0.069387146400849,NA,NA,NA,NA,NA,NA,"ZSB"
1.044,-0.0435952995362473,-0.0658835875360206,-0.0199523191194728,-0.0897913074747715,0.6400021870226,0.625829193953403,0.691712781489423,0.683597486558848,"DVDS"
1.045,-0.0395499469471627,-0.0697167182054222,NA,NA,NA,NA,NA,NA,"ZSB"
1.045,-0.0433477779200038,-0.0661328296605666,-0.0197071825694784,-0.0900440280938348,0.64015632389414,0.62567025151701,0.691803081177577,0.683504101814144,"DVDS"
1.046,-0.039223869256175,-0.0700460042678522,NA,NA,NA,NA,NA,NA,"ZSB"
1.046,-0.0430878902741846,-0.0663883516213831,-0.0194500046756322,-0.0903027784498873,0.640326042819746,0.625501663169304,0.691890014790688,0.68341393309393,"DVDS"
1.047,-0.0388981424889348,-0.0703750049928815,NA,NA,NA,NA,NA,NA,"ZSB"
1.047,-0.0428369451703386,-0.0666277000767322,-0.0192013911707324,-0.0905455059971486,0.640482031392367,0.625342695021777,0.691970395098509,0.683318976562705,"DVDS"
1.048,-0.0385727660370873,-0.0707037207843316,NA,NA,NA,NA,NA,NA,"ZSB"
1.048,-0.0426094070856837,-0.0668614555721449,-0.0189772788044631,-0.0907825128881639,0.64063781106054,0.625183823328383,0.692045278900528,0.683247218146224,"DVDS"
1.049,-0.0382477392936562,-0.071032152045109,NA,NA,NA,NA,NA,NA,"ZSB"
1.049,-0.0423885159879542,-0.0671139521074119,-0.0187598949525884,-0.0910384407353409,0.640765993229393,0.625019367750665,0.692133319858077,0.683154509217348,"DVDS"
1.05,-0.0379230616530361,-0.0713602991772095,NA,NA,NA,NA,NA,NA,"ZSB"
1.05,-0.0421482823486699,-0.0673588486100001,-0.0185221335769904,-0.0912869539497124,0.640920803237044,0.624860579705198,0.692219428315198,0.683069085585714,"DVDS"
1.051,-0.0375987325109925,-0.0716881625817176,NA,NA,NA,NA,NA,NA,"ZSB"
1.051,-0.041901211475601,-0.0676261260796411,-0.0182773262646606,-0.0915568555792238,0.641075405673655,0.624681429025125,0.692307555104766,0.682976617149256,"DVDS"
1.052,-0.0372747512646569,-0.0720157426588148,NA,NA,NA,NA,NA,NA,"ZSB"
1.052,-0.0416264179158376,-0.067864360111484,-0.0180067881406866,-0.0917980633219331,0.641261421470974,0.62452909751395,0.692393457625434,0.682887839386812,"DVDS"
1.053,-0.0369511173125233,-0.0723430398077785,NA,NA,NA,NA,NA,NA,"ZSB"
1.053,-0.0413773955412138,-0.0681089229521092,-0.0177605243421989,-0.0920462698328471,0.641406801519977,0.624370314239203,0.692479237191312,0.68278419706119,"DVDS"
1.054,-0.0366278300544437,-0.0726700544269851,NA,NA,NA,NA,NA,NA,"ZSB"
1.054,-0.0411305454996351,-0.0683495966422676,-0.0175159108450806,-0.0922887568707956,0.641561194459086,0.624216050381957,0.692565647024225,0.682691739958721,"DVDS"
1.055,-0.0363048888916231,-0.0729967869139174,NA,NA,NA,NA,NA,NA,"ZSB"
1.055,-0.0408833658156899,-0.0686260801125539,-0.0172709535614452,-0.0925669302710199,0.641715383620506,0.624053570808891,0.692679650921445,0.682598749436196,"DVDS"
1.056,-0.0359822932266223,-0.073323237665163,NA,NA,NA,NA,NA,NA,"ZSB"
1.056,-0.0407266282111167,-0.0688694798991085,-0.0171298544140175,-0.0928139465601006,0.641779764261387,0.623896103793962,0.69276558369307,0.682506392472503,"DVDS"
1.057,-0.0356600424633456,-0.0736494070764208,NA,NA,NA,NA,NA,NA,"ZSB"
1.057,-0.0404789901946003,-0.0691320572263925,-0.0168846582935382,-0.093079484969427,0.641935095750242,0.623716488079881,0.692848545306274,0.682414085944842,"DVDS"
1.058,-0.0353381360070422,-0.0739752955425008,NA,NA,NA,NA,NA,NA,"ZSB"
1.058,-0.0402185254487867,-0.0693763505112228,-0.0166271514849804,-0.0933274392839905,0.642103307204551,0.623557826310938,0.69293417682216,0.682321832653338,"DVDS"
1.059,-0.0350165732643057,-0.0743009034573303,NA,NA,NA,NA,NA,NA,"ZSB"
1.059,-0.039973159956234,-0.0696285043793317,-0.0163846512541018,-0.0935831403250897,0.642256470034612,0.623399254064004,0.693027758443336,0.682229629990846,"DVDS"
1.06,-0.0346953536430598,-0.074626231213955,NA,NA,NA,NA,NA,NA,"ZSB"
1.06,-0.0397273462789084,-0.0698725049315653,-0.0161413100239116,-0.0938308383127781,0.642410138500022,0.623240775213876,0.693113280145441,0.68213748477893,"DVDS"
1.061,-0.034374476552565,-0.0749512792045428,NA,NA,NA,NA,NA,NA,"ZSB"
1.061,-0.0395605877785349,-0.0701557472213415,-0.0159864039372846,-0.0941151597468662,0.642484801303772,0.62304293567099,0.693198682892331,0.682045389082307,"DVDS"
1.062,-0.034053941403412,-0.0752760478203852,NA,NA,NA,NA,NA,NA,"ZSB"
1.062,-0.039320981439436,-0.070403228283664,-0.0157493126360077,-0.0943662675540817,0.642635129589691,0.622884014669099,0.693287242952763,0.681956111029127,"DVDS"
1.063,-0.0337337476075152,-0.075600537451904,NA,NA,NA,NA,NA,NA,"ZSB"
1.063,-0.0390591546264659,-0.0706655483866673,-0.015491033996041,-0.0946313777692005,0.642805011096093,0.622728505747168,0.693394054133836,0.681864165722559,"DVDS"
1.064,-0.0334138945781149,-0.0759247484886499,NA,NA,NA,NA,NA,NA,"ZSB"
1.064,-0.0388170174924542,-0.0709491018300457,-0.0152514223604556,-0.0949167269683777,0.642955232890788,0.622540633003741,0.693489734833787,0.681772250383242,"DVDS"
