"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.007,-0.0531054551051341,-0.0567003632787138,-0.0293642936281645,-0.0804806108362763,0.634061671456664,0.631770387392443,0.688470750671156,0.687167126561798,"DVDS"
1.008,-0.0519290380603552,-0.0573886919273471,NA,NA,NA,NA,NA,NA,"ZSB"
1.008,-0.0528474927829951,-0.0569573785678179,-0.0291090856239793,-0.0807405017159601,0.634226413986858,0.631607077302981,0.688564455870799,0.687073906769853,"DVDS"
1.009,-0.0515896540559372,-0.0577287098311974,NA,NA,NA,NA,NA,NA,"ZSB"
1.009,-0.0525915819690882,-0.057212906909654,-0.0288558102382502,-0.0809989593301945,0.634389156217365,0.631443865385249,0.688656772294903,0.686980738186453,"DVDS"
1.01,-0.0512506443860403,-0.0580684269153709,NA,NA,NA,NA,NA,NA,"ZSB"
1.01,-0.0523148407844628,-0.057471913488391,-0.0285865725502459,-0.0812607491132479,0.634551674449619,0.6312768272769,0.688748740765291,0.686866515234082,"DVDS"
1.011,-0.0509120083888253,-0.0584078436196615,NA,NA,NA,NA,NA,NA,"ZSB"
1.011,-0.0520558534363918,-0.0577233247361555,-0.0283306838976373,-0.0815150019186715,0.634713969348305,0.631117443331681,0.688840768067836,0.686769822784697,"DVDS"
1.012,-0.0505737454039722,-0.058746960382825,NA,NA,NA,NA,NA,NA,"ZSB"
1.012,-0.051804390030637,-0.0579766282069715,-0.0280827828887455,-0.0817711804298809,0.634876040614735,0.630955317754147,0.688931945961118,0.686680430645372,"DVDS"
1.013,-0.0502358547726842,-0.0590857776425758,NA,NA,NA,NA,NA,NA,"ZSB"
1.013,-0.0515436471550937,-0.0582311107375291,-0.0278251860720645,-0.0820286447553077,0.635037887718849,0.630792538297692,0.689023649035221,0.686581534873943,"DVDS"
1.014,-0.0498983358376719,-0.0594242958355905,NA,NA,NA,NA,NA,NA,"ZSB"
1.014,-0.0512895773914802,-0.0584777680445893,-0.0275742422492523,-0.0822779835749846,0.635196982272,0.630631324855511,0.689109092900101,0.68648655966348,"DVDS"
1.015,-0.0495611879431616,-0.0597625153975159,NA,NA,NA,NA,NA,NA,"ZSB"
1.015,-0.0510369043428333,-0.0587318158652932,-0.0273247259209347,-0.082535004356626,0.635354824403598,0.63046781986958,0.689199635734874,0.686391728746431,"DVDS"
1.016,-0.049224410434883,-0.0601004367629668,NA,NA,NA,NA,NA,NA,"ZSB"
1.016,-0.0507793138488465,-0.0589828967031298,-0.0270702420340284,-0.0827890474232836,0.635518834576488,0.630307583160128,0.689290479863258,0.686298148425334,"DVDS"
1.017,-0.0488880026600663,-0.0604380603655367,NA,NA,NA,NA,NA,NA,"ZSB"
1.017,-0.0505223728927901,-0.0592342587893035,-0.0268163007316825,-0.083043415246614,0.635679588274188,0.630145364600967,0.689379623390271,0.686201961166978,"DVDS"
1.018,-0.0485519639674401,-0.0607753866377948,NA,NA,NA,NA,NA,NA,"ZSB"
1.018,-0.0502655702192777,-0.0594861259891315,-0.0265625098543974,-0.0832982689152692,0.635840120913933,0.629983409950384,0.689469535939516,0.686105691133211,"DVDS"
1.019,-0.0482162937072277,-0.0611124160112962,NA,NA,NA,NA,NA,NA,"ZSB"
