"seed_num","min_lambda_val"
1617,1.16745257847887
1618,1.23325750019377
1619,1.20150704521676
1620,1.34505403547711
1621,1.25517329475975
1622,1.22150462919536
1623,1.15981276726035
1624,1.23706727131696
1625,1.26471242566526
1626,1.18428182879554
1627,1.27733593106354
1628,1.15198625692335
1629,1.11587099294965
1630,1.2290411045633
1631,1.29856103854785
1632,1.18978539544088
1633,1.23827349236338
1634,1.18698625910572
1635,1.2529211906873
1636,1.1726285768222
1637,1.28891360735914
1638,1.23134709564543
1639,1.18971555415407
1640,1.15900037491418
1641,1.23409800775055
1642,1.18188557811365
1643,1.13397715216778
1644,1.24583250012091
1645,1.26150817916027
1646,1.26615299802406
1647,1.21217232464219
1648,1.17281073695488
1649,1.20756618594009
1650,1.2010393333592
1651,1.35887156187512
1652,1.26503380029372
1653,1.25923550046637
1654,1.28604193206299
1655,1.26970996454051
1656,1.25841313814295
1657,1.28555727639678
1658,1.2816373187251
1659,1.19046452259834
1660,1.25023238058277
1661,1.14046113100523
1662,1.25002523179037
1663,1.25150774870198
1664,1.25715993255575
1665,1.22291476990746
1666,1.26684234661384
1667,1.2055187607039
1668,1.20839976865133
1669,1.14196891510903
1670,1.24205922844178
1671,1.25319163737855
1672,1.24535528063453
1673,1.26482009805262
1674,1.20759949303186
1675,1.10419627979911
1676,1.22426598720818
1677,1.25286337507766
1678,1.26400770421429
1679,1.24437913703171
1680,1.16808959419543
1681,1.27823725834976
1682,1.17738910985048
1683,1.23091537859758
1684,1.25321035597283
1685,1.27203584716793
1686,1.26793109492344
1687,1.20886479843539
1688,1.25392289589336
1689,1.32246080711907
1690,1.21946691222705
1691,1.22279509939205
1692,1.17290506804093
1693,1.2473875298296
1694,1.24170193442564
1695,1.18576505278375
1696,1.25426676049299
1697,1.16591129211963
1698,1.26303872913818
1699,1.27073673401061
1700,1.22889869288513
1701,1.19387134659796
1702,1.16708877921186
1703,1.26479423958163
1704,1.20202019163753
1705,1.20478961708929
1706,1.24091076414883
1707,1.25741471721483
1708,1.18897564716419
1709,1.13196403027337
1710,1.23992119178932
1711,1.28464782367359
1712,1.20831306178772
1713,1.23103767282485
1714,1.16143686723898
1715,1.29236589936983
1716,1.22238031090235
1717,1.298047566739
1718,1.23927223523249
1719,1.19688417433503
1720,1.33922684140077
1721,1.25720839989499
1722,1.16490150468315
1723,1.29299996414427
1724,1.22339381199563
1725,1.23161946196778
1726,1.34365546153153
1727,1.20891444572487
1728,1.23846607300557
1729,1.20748374741045
1730,1.19518398280775
1731,1.24929489934708
1732,1.18240740969047
1733,1.2346003854491
1734,1.34019537487846
1735,1.16718520459335
1736,1.2859142031854
1737,1.28432153672336
1738,1.31947664488869
1739,1.14535289412139
1740,1.16931418477337
1741,1.2945595577894
1742,1.24029601822107
1743,1.2865706087563
1744,1.27450349722408
1745,1.17453485051626
1746,1.15764227988566
1747,1.25876218288914
1748,1.26256550524441
1749,1.25954106518311
1750,1.20113140271947
1751,1.25277897111853
1752,1.22094891811492
1753,1.14819838152372
1754,1.2637541888712
1755,1.35364357720787
1756,1.23469828327518
1757,1.21486541829603
1758,1.22149654710364
1759,1.24104635108942
1760,1.20465936580358
1761,1.14272846371467
1762,1.28775550282417
1763,1.30063031364137
1764,1.20525342154142
1765,1.19867246720943
1766,1.29339534663121
1767,1.17211095941691
1768,1.18587120042285
1769,1.18537154050993
1770,1.26051721835722
1771,1.16900840346088
1772,1.25719847629023
1773,1.11378786278352
1774,1.21773025363461
1775,1.22538156808608
1776,1.24431118542167
1777,1.34077837332077
1778,1.12559013056314
1779,1.21069681792353
1780,1.20438016712542
1781,1.23888418803158
1782,1.27835926753561
1783,1.15113230622586
1784,1.31128710599177
1785,1.32369219629698
1786,1.26097278741476
1787,1.25711876877189
1788,1.09626883355734
1789,1.18800056096975
1790,1.14872388840971
1791,1.27529120872035
1792,1.28140946398803
1793,1.20878601975144
1794,1.11497134672534
1795,1.15459326202163
1796,1.15468832796433
1797,1.25390349278683
1798,1.15817095495489
1799,1.19578770067703
1800,1.2682343757488
1801,1.18934497280411
1802,1.25723290337365
1803,1.15816017147726
1804,1.21694058245082
1805,1.23698118188017
1806,1.24413842350204
1807,1.32068067917078
1808,1.2951013127946
1809,1.24064988019183
1810,1.19643846802767
1811,1.26124520009184
1812,1.2023502110528
1813,1.28024703353187
1814,1.17939554424844
1815,1.1454639162286
1816,1.24755010979375
1817,1.33127378928935
1818,1.22938510947313
1819,1.2174518609414
1820,1.21025765824998
1821,1.31900780210526
1822,1.37133696828053
1823,1.33797449521711
1824,1.31251962521549
1825,1.14355524973874
1826,1.23586100229082
1827,1.22128763059965
1828,1.21235094867765
1829,1.21625011789205
1830,1.31308126889549
1831,1.29806831355519
1832,1.1983073519645
1833,1.2032629090801
1834,1.1448969200848
1835,1.14005971625596
1836,1.15423300467231
1837,1.2084054054935
1838,1.21197570083319
1839,1.25179203846523
1840,1.12908006097394
1841,1.26199509231781
1842,1.23220933545529
1843,1.20306560007687
1844,1.18095593171823
1845,1.2177690344165
1846,1.2245482423603
1847,1.27691727395216
1848,1.23996474618017
1849,1.22770029089877
1850,1.38536151686197
1851,1.2465683910781
1852,1.22635856307071
1853,1.15424706603504
1854,1.12569395363708
1855,1.23347231859512
1856,1.24475149118614
1857,1.14675931442313
1858,1.26674168600644
1859,1.24734415067018
1860,1.30374357478004
1861,1.27569230945669
1862,1.2763042097243
1863,1.38783908623612
1864,1.37704963806167
1865,1.17704055687251
1866,1.20550917375911
1867,1.19092753067017
1868,1.25187808280513
1869,1.18477233180454
1870,1.22991732743909
1871,1.21708481997062
1872,1.2048891128679
1873,1.21538211417164
1874,1.18035384640813
1875,1.20427469623891
1876,1.23469396687937
1877,1.25400744792614
1878,1.149953068283
1879,1.22383407601242
1880,1.24479434912435
1881,1.11905117246471
1882,1.27215230897175
1883,1.30531132838697
1884,1.19380454529172
1885,1.21348911518409
1886,1.27015873496178
1887,1.21481614324657
1888,1.19312152998791
1889,1.12081579387737
1890,1.17629071883776
1891,1.22245432428192
1892,1.3336138213136
1893,1.25986773323688
1894,1.22920966091949
1895,1.14515848353226
1896,1.24537978147162
1897,1.30218289206559
1898,1.19583281186078
1899,1.2181252176498
1900,1.16828631817177
1901,1.20810429855696
1902,1.19291208160789
1903,1.35798610552717
1904,1.25514639689947
1905,1.25376133173145
1906,1.16461982438453
1907,1.24443741656985
1908,1.18214082494345
1909,1.23018477174715
1910,1.20844737130544
1911,1.28827269931739
1912,1.24834783613775
1913,1.29261073466725
1914,1.29853863770733
1915,1.26554691531441
1916,1.19383471830769
1917,1.16354780891002
1918,1.15049928216585
1919,1.18193259898128
1920,1.19405915698892
1921,1.11657453801214
1922,1.25364231431629
1923,1.24672895802812
1924,1.21865701985928
1925,1.22433502075528
1926,1.17681148892276
1927,1.2568589297215
1928,1.2756316332383
1929,1.14465432963875
1930,1.23482951924137
1931,1.25299480660846
1932,1.20406189617473
1933,1.15018740322048
1934,1.31831431284834
1935,1.20258790520232
1936,1.24384985734519
1937,1.1278306482944
1938,1.26355213264391
1939,1.18460763831126
1940,1.26622976410386
1941,1.21383684143176
1942,1.34005588434381
1943,1.17940678919563
1944,1.29817663311777
1945,1.24703310336712
1946,1.20720912583847
1947,1.24106186888363
1948,1.1622179853751
1949,1.32704331255901
1950,1.12590733208394
1951,1.26028110356927
1952,1.23680240243099
1953,1.16408267695348
1954,1.25097900842814
1955,1.1875386769797
1956,1.17489072120794
1957,1.18492513197821
1958,1.17479150254057
1959,1.2559233842866
1960,1.20965010833521
1961,1.36667436371937
1962,1.33014785304087
1963,1.31440109407314
1964,1.20459508534081
1965,1.20523020922315
1966,1.32683558616335
1967,1.13936270355613
1968,1.2463820217478
1969,1.23475563669191
1970,1.22278639440853
1971,1.20991323234652
1972,1.25317359820888
1973,1.27273883398572
1974,1.28493914731302
1975,1.29329164634036
1976,1.14904555660487
1977,1.19052373807213
1978,1.19249491211266
1979,1.09916630831541
1980,1.22430649209657
1981,1.29053383310758
1982,1.20819062508792
1983,1.23080841526127
1984,1.26183831852306
1985,1.37223491688523
1986,1.24882507100695
1987,1.15506432244511
1988,1.20268594182228
1989,1.26515733017582
1990,1.205830373014
1991,1.2898471801987
1992,1.28602239940626
1993,1.2485507832974
1994,1.19001179008142
1995,1.21928923735827
1996,1.31616021888501
1997,1.14376537453362
1998,1.2525565375911
1999,1.24166550977881
2000,1.29941288363408
2001,1.24262294322476
2002,1.24161459077918
2003,1.35140833801083
2004,1.26955521439807
2005,1.21959312530179
2006,1.15402663032451
2007,1.16237336165636
2008,1.24387254578145
2009,1.2301368097361
2010,1.17370761621977
2011,1.25793876079922
2012,1.27259962220434
2013,1.17585370825474
2014,1.23434574493475
2015,1.24661697254759
2016,1.31595365073074
2017,1.17878870749387
2018,1.25699211804688
2019,1.2410262484108
2020,1.22210208462686
2021,1.11726735601196
2022,1.1923695005262
2023,1.2656893106228
2024,1.28111831839195
2025,1.26324046989464
2026,1.30180705210923
2027,1.25350117187553
2028,1.2945781284326
2029,1.11045430069004
2030,1.26033937626834
2031,1.2637209997559
2032,1.25551481002065
2033,1.28795801045655
2034,1.29704055494109
2035,1.16300592794845
2036,1.18105714104022
2037,1.14498531620649
2038,1.24008865144107
2039,1.2778389232375
2040,1.27357461559121
2041,1.23243599397361
2042,1.18058377905116
2043,1.25235752090654
2044,1.17252904794603
2045,1.18808714563243
2046,1.31252167431807
2047,1.32672362731589
2048,1.25064175505862
2049,1.21198375449284
2050,1.18426762122635
2051,1.25265670643522
2052,1.25028671133056
2053,1.302298592882
2054,1.20875030136413
2055,1.23433196342463
2056,1.18363091027691
2057,1.24421609899299
2058,1.1915141050278
2059,1.22785053335971
2060,1.28957508899352
2061,1.25963423545468
2062,1.24854398887264
2063,1.27489496356385
2064,1.10684859438958
2065,1.24870562250161
2066,1.1577199417386
2067,1.18883018851081
2068,1.22800759507525
2069,1.26699941290484
2070,1.2763042204556
2071,1.29826440192968
2072,1.27855439108446
2073,1.10220395229385
2074,1.26391135960756
2075,1.24145365818892
2076,1.21866143719461
2077,1.16644580128641
2078,1.14628846011077
2079,1.26296642910078
2080,1.20918544056812
2081,1.29244350721044
2082,1.18950918544545
2083,1.28075993490862
2084,1.16087578082232
2085,1.16284825675393
2086,1.21399993772349
2087,1.22489999641156
2088,1.21766677542294
2089,1.22628483346776
2090,1.26820970392723
2091,1.24431729929947
2092,1.16736904147342
2093,1.2117185270603
2094,1.17951669536716
2095,1.2761144994164
2096,1.26284496252962
2097,1.19490422558185
2098,1.27762207457737
2099,1.32398208088393
2100,1.26517146975342
2101,1.26989321171176
2102,1.15229432219041
2103,1.26825167198768
2104,1.16089427387236
2105,1.27349890108084
2106,1.24744481557002
2107,1.28814871270021
2108,1.29308190328038
2109,1.1612315247742
2110,1.27263631719476
2111,1.30452383332861
2112,1.31441023627761
2113,1.242211394866
2114,1.23957701855857
2115,1.23202217731415
2116,1.21332547845903
2117,1.21074510352529
2118,1.19105528149421
2119,1.28185201345273
2120,1.37024082351118
2121,1.19500792344297
2122,1.16161245890355
2123,1.15373578075264
2124,1.28212213010238
2125,1.19054667189947
2126,1.23410370052563
2127,1.24723919800769
2128,1.12655565046354
2129,1.30527944283453
2130,1.1600715986281
2131,1.33449645689195
2132,1.22701019822766
2133,1.23371547118758
2134,1.24842896949524
2135,1.18034158303934
2136,1.32885599719499
2137,1.21947012517992
2138,1.23916825446272
2139,1.08958747873665
2140,1.25305789860854
2141,1.20930733870449
2142,1.21638908986235
2143,1.28946486046889
2144,1.19145292012523
2145,1.27059045391206
2146,1.18977376453953
2147,1.2381201933978
2148,1.20263919810127
2149,1.31111314404587
2150,1.24430382126038
2151,1.34561423059986
2152,1.25906501134612
2153,1.23318238332033
2154,1.35914854774741
2155,1.23148969750983
2156,1.12552772491129
2157,1.1519515773155
2158,1.24753736088245
2159,1.24677223727312
2160,1.24349388528658
2161,1.17802810280514
2162,1.32621981074639
2163,1.12566367520152
2164,1.33645241690123
2165,1.19011113121122
2166,1.18885434939133
2167,1.27329281646733
2168,1.1720670416463
2169,1.28447845312473
2170,1.37597268266721
2171,1.19161686258151
2172,1.21987122006775
2173,1.27361779172713
2174,1.20320348374998
2175,1.28071950722602
2176,1.28021724837127
2177,1.21394001411172
2178,1.09708061036487
2179,1.27562253669798
2180,1.27479826197873
2181,1.15761215607419
2182,1.17625517982949
2183,1.20938251775182
2184,1.28524271120565
2185,1.21815047234857
2186,1.31687707490686
2187,1.30496545454549
2188,1.2437304280285
2189,1.25998978399776
2190,1.29446457811029
2191,1.16999448465539
2192,1.26302250841773
2193,1.15203075168253
2194,1.25182189340283
2195,1.22244618432847
2196,1.25790381025986
2197,1.27054402606038
2198,1.27847379023845
2199,1.21757159383342
2200,1.25620679601106
2201,1.22455103404457
2202,1.22396173125415
2203,1.25722221134471
2204,1.3173729675264
2205,1.24368395495131
2206,1.18465141128813
2207,1.22573845503554
2208,1.27844246248397
2209,1.17812860700672
2210,1.24789090042084
2211,1.18762317869447
2212,1.29380650507725
