"Lambda" "upper" "lower" "upper.CI" "lower.CI" "upper.1" "lower.1" "upper.0" "lower.0"
1 -0.0206912336863476 -0.0206912336863476 0.0416427810035423 -0.0830252483762376 0.488791914377115 0.488791914377115 0.509483148063462 0.509483148063462
1.10526315789474 0.0175586501471322 -0.0602534614057807 0.0797588232122346 -0.122448311750312 0.50928529555266 0.468245701475194 0.528499162880975 0.491726645405528
1.21052631578947 0.0542822773368751 -0.0956015489980082 0.115937084381876 -0.157264315369596 0.529815226737039 0.450709651448166 0.546311200446174 0.475532949400164
1.31578947368421 0.0869262024763143 -0.127003878858382 0.14765279828264 -0.187442815409892 0.546659046520455 0.434367093729193 0.561370972587575 0.459732844044141
1.42105263157895 0.118344180079696 -0.154531231566542 0.17779179416091 -0.212946407544487 0.566408510448896 0.418661092161469 0.573192323728011 0.448064330369199
1.52631578947368 0.146198739668582 -0.183268099465764 0.204371334180318 -0.239431187855638 0.583050316384384 0.401150730376874 0.584418829842639 0.436851576715803
1.63157894736842 0.17221950682425 -0.211361977642094 0.228303079274495 -0.265353503282002 0.595505201831851 0.382319628982918 0.593681606625012 0.423285695007601
1.73684210526316 0.185887172469849 -0.232884181070871 0.240227657774757 -0.284740453176362 0.601307554319865 0.369378375784828 0.602262556855699 0.415420381850017
1.84210526315789 0.200951603064824 -0.249973751173714 0.253418327124773 -0.299915191711686 0.607490573332248 0.360431935220219 0.610405686393933 0.406538970267424
1.94736842105263 0.223600742993143 -0.258505084699623 0.275264297609998 -0.306158243983549 0.621182499605639 0.356226469725938 0.614731554425561 0.397581756612495
2.05263157894737 0.23907912777639 -0.267778469529662 0.289845524334071 -0.314123485768873 0.630136896477432 0.352141047706238 0.6199195172359 0.391057768701042
2.15789473684211 0.25836576108057 -0.276983569096384 0.307873209388274 -0.322310642746752 0.640270499315459 0.347604435733195 0.62458800482958 0.381904738234888
2.26315789473684 0.277133150263168 -0.285267923123996 0.325708118572332 -0.329699002137128 0.652609679977707 0.343945560904046 0.629213484028041 0.375476529714538
2.36842105263158 0.286997626004473 -0.294618342806302 0.333847024049818 -0.338443957868482 0.658148615883292 0.338807875264938 0.63342621807124 0.371150989878819
2.47368421052632 0.297483091097442 -0.303169967711802 0.342698967390805 -0.346443929750996 0.665489303706049 0.334110453845768 0.63728042155757 0.368006212608606
2.57894736842105 0.308203817889417 -0.309859866123278 0.352972064612592 -0.352485379617462 0.671185651760425 0.330960130064595 0.640819996187873 0.362981833871008
2.68421052631579 0.318064061708591 -0.317041832157659 0.362392193351906 -0.359193182438112 0.677355016294427 0.327040124964023 0.644081957121682 0.359290954585836
2.78947368421053 0.325972256761894 -0.323681763019634 0.370051921553152 -0.365395718842232 0.681847394501453 0.323415969305003 0.647097732324637 0.355875137739559
2.89473684210526 0.328491035510873 -0.32983878981892 0.370828749404927 -0.371148032365882 0.681224180546464 0.320055388603003 0.649894178421923 0.352733145035591
3 0.335064271034398 -0.335563744562116 0.377107264984911 -0.376497448815997 0.684891987055552 0.316930638125705 0.652494382687821 0.349827716021154
1 -0.00187631997311316 -0.00187631997311316 0.0605614967597446 -0.064314136705971 0.499937328419396 0.499937328419396 0.501813648392509 0.501813648392509
1.10526315789474 0.0404361259467185 -0.0399600562112151 0.103643715491501 -0.101337886012417 0.522763704742235 0.479983249664223 0.519943305875438 0.482327578795517
1.21052631578947 0.0800728113772019 -0.0710448876822736 0.143314951638728 -0.131544889483966 0.543003611320161 0.462611225304997 0.533656112987271 0.462930799942959
1.31578947368421 0.117535240809707 -0.0974052695545416 0.180155234239845 -0.157136840512542 0.564012648799066 0.446833204093463 0.544238473648004 0.446477407989358
1.42105263157895 0.152615374693065 -0.124067289717155 0.213967804411886 -0.183257487338961 0.583722041606812 0.430318184400306 0.554385474117461 0.431106666913747
1.52631578947368 0.178026036594282 -0.14875341189147 0.237450823232062 -0.207807305694007 0.599134726951083 0.415428691368672 0.564182103260141 0.421108690356801
1.63157894736842 0.199137307103632 -0.168097246854525 0.255461188970292 -0.226302054442439 0.607016970858268 0.404816946850328 0.572914193704853 0.407879663754636
1.73684210526316 0.216585545766411 -0.18687266022611 0.271224021557504 -0.244333202166419 0.617062219555326 0.396321102716707 0.583193762942817 0.400476673788916
1.84210526315789 0.235341041884648 -0.204326403715836 0.287274008297135 -0.260760543321583 0.629685066552984 0.384874996475699 0.589201400191534 0.394344024668337
1.94736842105263 0.251573020942593 -0.222590174286671 0.301467824896945 -0.278202431635853 0.638505713550853 0.372863944524588 0.595454118811259 0.386932692608261
2.05263157894737 0.270954496287645 -0.23685971595959 0.31984251234575 -0.290694935400896 0.650617801754248 0.368328078784782 0.605187794744372 0.379663305466603
2.15789473684211 0.288960324863885 -0.255524060735663 0.335615135080058 -0.308712604573396 0.660982394867811 0.358875366092788 0.614399426828451 0.372022070003927
2.26315789473684 0.303815804410416 -0.267090402359347 0.34974100045074 -0.319213175572818 0.66835270674063 0.352527693314568 0.619618095673914 0.364536902330213
2.36842105263158 0.31276090318884 -0.267636851579294 0.357842603755867 -0.316598867646766 0.672221364819706 0.354252868742113 0.621889720321407 0.359460461630866
2.47368421052632 0.322889204131199 -0.274834309258731 0.367561796544928 -0.321861710271536 0.677690623363853 0.350511878013743 0.625346187272473 0.354801419232655
2.57894736842105 0.325857037759907 -0.283395745440947 0.36865940216661 -0.329327164777245 0.679363453876909 0.344829815795644 0.628225561236591 0.353506416117001
2.68421052631579 0.331844602790641 -0.287022639410227 0.373782497276924 -0.331678200122315 0.683819789018991 0.342654670304399 0.629677309714626 0.35197518622835
