"Lambda" "lower" "upper" "lower.CI" "upper.CI"
1 -0.0699315025813076 -0.0699315025813076 -0.265350172978669 0.125487167816054
1.10526315789474 -0.186165864894888 0.0484021749120573 -0.382688211389996 0.2431056990488
1.21052631578947 -0.292923599946516 0.154969404113199 -0.490854109772619 0.349411459480453
1.31578947368421 -0.389987359412331 0.252476375570836 -0.589523067023587 0.446843700308625
1.42105263157895 -0.479540918982047 0.341742487427412 -0.680840657497773 0.536313141150374
1.52631578947368 -0.561703240326214 0.423405685025479 -0.764783090449672 0.618132755176954
1.63157894736842 -0.641163493932482 0.500589191245676 -0.846167289822216 0.69572203219438
1.73684210526316 -0.715755132902906 0.571260527388851 -0.922569408210131 0.766897331067533
1.84210526315789 -0.783986787470847 0.638351807026898 -0.992786238144171 0.834617439490835
1.94736842105263 -0.849549471993023 0.701596688799858 -1.06045244423583 0.898698273263482
2.05263157894737 -0.908217676749231 0.76128487535144 -1.12099465021987 0.959249931290332
2.15789473684211 -0.968444385012443 0.816574957594147 -1.1834217599456 1.01564386968224
2.26315789473684 -1.02316543667409 0.868385256803383 -1.24012496270149 1.06845887860025
2.36842105263158 -1.0759176369042 0.918724756581055 -1.29501749550088 1.11982461212357
2.47368421052632 -1.12817278976722 0.966846584338763 -1.34936960204157 1.16919024871603
2.57894736842105 -1.17430462940454 1.01238702215495 -1.39755865036479 1.21585064134541
2.68421052631579 -1.21943819136573 1.05766894087403 -1.44462919018871 1.26257310929963
2.78947368421053 -1.26345377647356 1.0997358348071 -1.49054822374202 1.30597718812122
2.89473684210526 -1.31062175747617 1.13985865909949 -1.5394944252175 1.3473507887012
3 -1.35236342191158 1.17923305996157 -1.58363152952901 1.38799258862196
1 0.0901923952109724 0.0901923952109724 -0.088948995664856 0.269333786086801
1.10526315789474 -0.0192121867942726 0.199805108000879 -0.198398767711918 0.379073290600481
1.21052631578947 -0.11860112230622 0.298249562096198 -0.297884340134185 0.477762636464722
1.31578947368421 -0.209588558241206 0.387198596795481 -0.389084619042658 0.567147724025311
1.42105263157895 -0.293794400262234 0.468694404734914 -0.473523793973456 0.649134266261188
1.52631578947368 -0.370547087703772 0.544401828388331 -0.550411954166589 0.72541873732479
1.63157894736842 -0.444609382559219 0.615550423928745 -0.624879792325715 0.797249576167183
1.73684210526316 -0.510764712495367 0.681523509744986 -0.691398963885878 0.86399719314638
1.84210526315789 -0.574459644838556 0.744046690338127 -0.75561599689863 0.927242028193027
1.94736842105263 -0.635253534157509 0.801542070686863 -0.817061356358511 0.985554334537377
2.05263157894737 -0.691953643078822 0.856959620304005 -0.874446827770692 1.04190023257858
2.15789473684211 -0.741780003602874 0.909374055824562 -0.924838647681134 1.09523114043486
2.26315789473684 -0.790805651094614 0.960265311322162 -0.974584075220905 1.14716742478406
2.36842105263158 -0.834932370789004 1.00847584066324 -1.01931561592461 1.19661328806714
2.47368421052632 -0.88195831487356 1.05347516582306 -1.06713585830696 1.24267284690315
2.57894736842105 -0.926548862246866 1.0959065040705 -1.11243308144732 1.28594186875564
2.68421052631579 -0.963224681691748 1.13502342778932 -1.1495288220797 1.32598528169191
2.78947368421053 -1.00447439594344 1.1768575308208 -1.19149899808357 1.36891443594879
2.89473684210526 -1.04537802661388 1.21501352886812 -1.23344180446055 1.40821172085965
3 -1.085736674991 1.2526175954168 -1.2749280212292 1.44671759578164
1 -0.114295975028631 -0.114295975028631 -0.295791765433449 0.0671998153761873
1.10526315789474 -0.224072006476136 -0.00515929374967782 -0.405548687291515 0.176626156365893
